iter	RMSE
0	17.41040184
1	17.09911246
2	16.8135664
3	16.53245802
4	16.28701767
5	15.99766503
6	15.77008505
7	15.58267017
8	15.32213218
9	15.12616817
10	14.9133401
11	14.74558257
12	14.55797907
13	14.39974323
14	14.27387837
15	14.15236411
16	14.04035074
17	13.92345184
18	13.78201448
19	13.66481087
20	13.57110456
21	13.48246529
22	13.37025953
23	13.29941978
24	13.20133968
25	13.12524438
26	13.03877539
27	12.95214166
28	12.87341661
29	12.8035832
30	12.74452726
31	12.69010607
32	12.62094338
33	12.56759992
34	12.5210043
35	12.47790599
36	12.43196904
37	12.38159721
38	12.339605
39	12.29402321
40	12.27416544
41	12.23693155
42	12.19165158
43	12.17531582
44	12.15286049
45	12.1141944
46	12.09258085
47	12.06219828
48	12.02689643
49	11.9899255
50	11.96866197
51	11.93830671
52	11.92226147
53	11.89290823
54	11.87934738
55	11.8559132
56	11.85253928
57	11.82164321
58	11.80751912
59	11.79015608
60	11.7718064
61	11.75216294
62	11.74362447
63	11.72441527
64	11.71569327
65	11.70053812
66	11.68714716
67	11.6681232
68	11.64737614
69	11.63358985
70	11.61911589
71	11.6011807
72	11.59447846
73	11.57885957
74	11.57121678
75	11.55917169
76	11.54473654
77	11.53171462
78	11.52269348
79	11.51211601
80	11.50721933
81	11.49588949
82	11.48516178
83	11.47354903
84	11.46066747
85	11.44865528
86	11.43332053
87	11.42796304
88	11.41304568
89	11.4030384
90	11.39752522
91	11.38644405
92	11.37911166
93	11.37198423
94	11.36291513
95	11.35150351
96	11.33713776
97	11.32220981
98	11.31214063
99	11.30373622
100	11.29196126
101	11.28602587
102	11.28020037
103	11.26790039
104	11.26454344
105	11.26316845
106	11.25465458
107	11.25020293
108	11.24660245
109	11.2444454
110	11.24109785
111	11.23554561
112	11.22466829
113	11.21335299
114	11.20570506
115	11.20125981
116	11.19448971
117	11.18753176
118	11.18310905
119	11.17451054
120	11.17121687
121	11.15881808
122	11.15438105
123	11.14789047
124	11.1439637
125	11.14251447
126	11.13996076
127	11.12981182
128	11.12762184
129	11.11961246
130	11.10841101
131	11.10159881
132	11.09444551
133	11.09099032
134	11.08742753
135	11.08037277
136	11.07531168
137	11.06716642
138	11.06574173
139	11.06396862
140	11.05822022
141	11.04683887
142	11.03997694
143	11.03067229
144	11.02733057
145	11.01847596
146	11.01350309
147	11.0103726
148	11.00288147
149	10.99605717
150	10.9915101
151	10.99143316
152	10.98757901
153	10.98123183
154	10.97517646
155	10.97097634
156	10.96925159
157	10.96394541
158	10.95743718
159	10.95482882
160	10.94143034
161	10.93985504
162	10.93737772
163	10.93329609
164	10.92800108
165	10.92100826
166	10.91309252
167	10.90501549
168	10.89680274
169	10.89085442
170	10.89004964
171	10.8886266
172	10.88459486
173	10.87455774
174	10.86683791
175	10.86317551
176	10.85815562
177	10.85051322
178	10.84786181
179	10.84203581
180	10.83185658
181	10.83092136
182	10.82311266
183	10.81472938
184	10.80733712
185	10.8005629
186	10.79494284
187	10.78926993
188	10.78318841
189	10.78261303
190	10.7819467
191	10.7780081
192	10.77586891
193	10.7683278
194	10.76293842
195	10.75339019
196	10.74841115
197	10.74682096
198	10.7436604
199	10.74209274
200	10.73763292
201	10.73512904
202	10.73274134
